State/Territory,Year,Migrants
New South Wales,2004,54870
Victoria,2004,41760
Queensland,2004,30080
South Australia,2004,9500
Western Australia,2004,20700
Tasmania,2004,1400
Northern Territory,2004,1190
Australian Capital Territory,2004,1750
New South Wales,2005,59780
Victoria,2005,48190
Queensland,2005,35530
South Australia,2005,12300
Western Australia,2005,26550
Tasmania,2005,1450
Northern Territory,2005,910
Australian Capital Territory,2005,1860
New South Wales,2006,79480
Victoria,2006,66090
Queensland,2006,47240
South Australia,2006,15010
Western Australia,2006,32510
Tasmania,2006,1630
Northern Territory,2006,1170
Australian Capital Territory,2006,2450
New South Wales,2007,94150
Victoria,2007,77580
Queensland,2007,55880
South Australia,2007,15880
Western Australia,2007,42170
Tasmania,2007,1920
Northern Territory,2007,1790
Australian Capital Territory,2007,3200
New South Wales,2008,88860
Victoria,2008,83770
Queensland,2008,59540
South Australia,2008,17660
Western Australia,2008,44210
Tasmania,2008,2060
Northern Territory,2008,2110
Australian Capital Territory,2008,3920
New South Wales,2009,59290
Victoria,2009,54370
Queensland,2009,35880
South Australia,2009,14560
Western Australia,2009,29220
Tasmania,2009,1660
Northern Territory,2009,1360
Australian Capital Territory,2009,3330
New South Wales,2010,55120
Victoria,2010,46650
Queensland,2010,35840
South Australia,2010,9500
Western Australia,2010,36660
Tasmania,2010,1040
Northern Territory,2010,1350
Australian Capital Territory,2010,2340
New South Wales,2011,60970
Victoria,2011,57650
Queensland,2011,47670
South Australia,2011,12790
Western Australia,2011,51620
Tasmania,2011,1620
Northern Territory,2011,3430
Australian Capital Territory,2011,4190
New South Wales,2012,70700
Victoria,2012,61340
Queensland,2012,43530
South Australia,2012,12100
Western Australia,2012,43050
Tasmania,2012,1710
Northern Territory,2012,4420
Australian Capital Territory,2012,3320
New South Wales,2013,73620
Victoria,2013,61280
Queensland,2013,31200
South Australia,2013,12280
Western Australia,2013,21510
Tasmania,2013,1830
Northern Territory,2013,1960
Australian Capital Territory,2013,3480
New South Wales,2014,77550
Victoria,2014,66410
Queensland,2014,25600
South Australia,2014,12190
Western Australia,2014,16940
Tasmania,2014,1750
Northern Territory,2014,2500
Australian Capital Territory,2014,4100
New South Wales,2015,87110
Victoria,2015,77250
Queensland,2015,29150
South Australia,2015,12220
Western Australia,2015,14910
Tasmania,2015,1850
Northern Territory,2015,1280
Australian Capital Territory,2015,3830
New South Wales,2016,110960
Victoria,2016,94430
Queensland,2016,37180
South Australia,2016,12840
Western Australia,2016,14640
Tasmania,2016,2460
Northern Territory,2016,2040
Australian Capital Territory,2016,4590
New South Wales,2017,97170
Victoria,2017,89850
Queensland,2017,30700
South Australia,2017,13270
Western Australia,2017,13980
Tasmania,2017,2860
Northern Territory,2017,1060
Australian Capital Territory,2017,4810
New South Wales,2018,89090
Victoria,2018,88520
Queensland,2018,34370
South Australia,2018,15460
Western Australia,2018,18720
Tasmania,2018,3210
Northern Territory,2018,1280
Australian Capital Territory,2018,3030
New South Wales,2019,52270
Victoria,2019,56950
Queensland,2019,23630
South Australia,2019,13520
Western Australia,2019,23110
Tasmania,2019,3150
Northern Territory,2019,450
Australian Capital Territory,2019,1550
New South Wales,2020,-15590
Victoria,2020,-51200
Queensland,2020,-13380
South Australia,2020,-3280
Western Australia,2020,-5420
Tasmania,2020,-350
Northern Territory,2020,-360
Australian Capital Territory,2020,-2830
New South Wales,2021,74790
Victoria,2021,70260
Queensland,2021,31590
South Australia,2021,14690
Western Australia,2021,16740
Tasmania,2021,3370
Northern Territory,2021,2520
Australian Capital Territory,2021,4120
New South Wales,2022,187410
Victoria,2022,165430
Queensland,2022,91190
South Australia,2022,30570
Western Australia,2022,69140
Tasmania,2022,5010
Northern Territory,2022,4190
Australian Capital Territory,2022,9170
New South Wales,2023,149460
Victoria,2023,138610
Queensland,2023,79250
South Australia,2023,24460
Western Australia,2023,60260
Tasmania,2023,4130
Northern Territory,2023,3920
Australian Capital Territory,2023,7060
